number,value,datetime_start,datetime_complete,duration,params_baggingFraction,params_baggingFreq,params_featureFraction,params_lambdaL1,params_lambdaL2,params_learningRate,params_maxBin,params_maxDepth,params_minDataInLeaf,params_minGainToSplit,params_numLeaves,user_attrs_best_iteration,user_attrs_fit_seconds,user_attrs_test_auc,user_attrs_valid_auc,system_attrs_fixed_params,state
50,0.6919855100810178,2026-05-25 02:33:57.026634,2026-05-25 02:34:02.573179,0 days 00:00:05.546545,0.7085106068171692,3,0.8345387279236398,1.1194784080356729e-07,0.004304802524709204,0.03184567886525178,127,10,20,0.8940164540818223,31,120,5.41384482383728,0.700786850195558,0.6919855100810178,,COMPLETE
51,0.6926143338644202,2026-05-25 02:34:02.689127,2026-05-25 02:34:08.223252,0 days 00:00:05.534125,0.7269938819912009,3,0.8112262130422799,1.1087452796750958e-05,0.0012984284904049112,0.026307953393071248,127,10,20,0.9640948644138259,31,116,5.4206109046936035,0.7021715747818653,0.6926143338644202,,COMPLETE
52,0.6932167657262791,2026-05-25 02:34:08.310734,2026-05-25 02:34:13.660358,0 days 00:00:05.349624,0.7281995608490109,3,0.7378402183462758,1.1324178270083698e-05,0.0012391197979820323,0.024005897499647297,127,10,20,0.021642854328399186,31,97,5.241435766220093,0.7026380828860689,0.6932167657262791,,COMPLETE
53,0.6905323302779031,2026-05-25 02:34:13.745210,2026-05-25 02:34:19.001718,0 days 00:00:05.256508,0.7531044439569443,3,0.7402968159941826,1.1593521421359139e-05,0.0006717732751819216,0.02395597998502374,127,10,20,0.1754293536484764,31,82,5.135409593582153,0.7026270262812042,0.6905323302779031,,COMPLETE
54,0.6906035594639575,2026-05-25 02:34:19.095413,2026-05-25 02:34:24.466586,0 days 00:00:05.371173,0.7003623050736777,3,0.8183466028334502,2.4243746013130254e-06,0.0014661524279234602,0.027417424401443645,127,10,20,0.3099740427785996,31,62,5.248086452484131,0.6997658994265884,0.6906035594639575,,COMPLETE
55,0.6912336013360459,2026-05-25 02:34:24.572620,2026-05-25 02:34:29.980642,0 days 00:00:05.408022,0.7277070188448004,3,0.7126576139268918,5.568180727300898e-05,0.00010770666718333274,0.022448175950208496,127,10,20,0.4623620950142708,15,177,5.2949442863464355,0.7003717092347872,0.6912336013360459,,COMPLETE
56,0.6936305098501612,2026-05-25 02:34:30.061049,2026-05-25 02:34:35.902053,0 days 00:00:05.841004,0.7128292910541026,3,0.7419490099467604,1.8284789242869118e-05,5.485801991880222e-06,0.0373094550961866,127,10,20,0.04596576918851451,31,122,5.688369512557983,0.7004597013818339,0.6936305098501612,,COMPLETE
57,0.6899445154802828,2026-05-25 02:34:35.998211,2026-05-25 02:34:41.273934,0 days 00:00:05.275723,0.7944369737140985,0,0.7312920796628305,0.00010736122625633375,5.264504176329877e-06,0.039329972424854136,127,-1,20,0.05011936536592905,31,49,5.153544902801514,0.7008346469770033,0.6899445154802828,,COMPLETE
58,0.6885571124662443,2026-05-25 02:34:41.379382,2026-05-25 02:34:46.801881,0 days 00:00:05.422499,0.8268067002769706,1,0.7450638377784974,2.464377828201763e-05,2.5790236444395167e-07,0.19097077905870377,127,8,20,0.007099419602604927,127,24,5.302523374557495,0.6902667785994346,0.6885571124662443,,COMPLETE
59,0.6919098725740023,2026-05-25 02:34:46.887738,2026-05-25 02:34:52.923040,0 days 00:00:06.035302,0.7074081143871276,3,0.7242545069106522,1.8981790687232665e-05,0.0003245205027122333,0.05125363995610364,127,10,100,0.07447402487629642,31,65,5.9172043800354,0.7017729035554242,0.6919098725740023,,COMPLETE
60,0.6919657886451397,2026-05-25 02:34:53.015665,2026-05-25 02:34:58.553740,0 days 00:00:05.538075,0.7285144083990122,3,0.7905410486970567,5.2425687597632795e-06,4.924451474445045e-07,0.01919742903853206,127,10,20,0.11559279622686969,31,111,5.425027370452881,0.7004450744149817,0.6919657886451397,,COMPLETE
61,0.6926909574432294,2026-05-25 02:34:58.644621,2026-05-25 02:35:04.598770,0 days 00:00:05.954149,0.7151424705766632,3,0.7671204736166866,2.8924125115993997e-06,1.0413956303161405e-05,0.02566881324075795,127,10,20,0.2246635364487531,31,123,5.823972463607788,0.7008959765821109,0.6926909574432294,,COMPLETE
62,0.6915692137713163,2026-05-25 02:35:04.693614,2026-05-25 02:35:10.304894,0 days 00:00:05.611280,0.7111227440425505,3,0.7692356564507784,4.149268046165818e-05,1.2326645370125913e-05,0.039911049781465716,127,10,20,0.2683828799821539,31,96,5.4880218505859375,0.6992223981937195,0.6915692137713163,,COMPLETE
63,0.6909618515504875,2026-05-25 02:35:10.402445,2026-05-25 02:35:15.910491,0 days 00:00:05.508046,0.7601133749452805,3,0.7476068357859039,1.1639478229711572e-05,5.1430249678927985e-05,0.03285194657042643,127,10,20,0.10478394479044541,31,121,5.390692234039307,0.7013701436886424,0.6909618515504875,,COMPLETE
64,0.692397920107767,2026-05-25 02:35:15.986622,2026-05-25 02:35:21.769975,0 days 00:00:05.783353,0.7426898816113054,3,0.7626432441485963,4.252374887134952e-07,1.1294219779135845e-06,0.025661049382216188,127,10,20,0.23902542219526096,31,182,5.672130584716797,0.7003914613986859,0.692397920107767,,COMPLETE
65,0.6917178785953046,2026-05-25 02:35:21.862223,2026-05-25 02:35:27.163766,0 days 00:00:05.301543,0.7422192571186016,3,0.7627640194931584,2.881852023271446e-07,3.328398174194081e-06,0.02563035376611623,127,10,20,0.23659174972196492,31,61,5.187958478927612,0.7013654215969815,0.6917178785953046,,COMPLETE
66,0.6910153314442518,2026-05-25 02:35:27.253248,2026-05-25 02:35:32.678968,0 days 00:00:05.425720,0.7742971430696142,3,0.7796078476634107,6.221604130707496e-08,1.1496550458237491e-06,0.022204849256724467,127,10,20,0.3415681135913333,31,116,5.305267572402954,0.7012950509139377,0.6910153314442518,,COMPLETE
67,0.6931279032563802,2026-05-25 02:35:32.776352,2026-05-25 02:35:37.979028,0 days 00:00:05.202676,0.7006747904884467,3,0.7188202035902409,5.324599230363368e-07,1.0933458795946862e-05,0.029202068467945323,127,-1,20,0.1517507854646421,31,82,5.0817670822143555,0.699082693384338,0.6931279032563802,,COMPLETE
68,0.6926256446879385,2026-05-25 02:35:38.066132,2026-05-25 02:35:43.544034,0 days 00:00:05.477902,0.7000220238019328,3,0.718774651631793,3.132973870361273e-06,6.303129483283685e-06,0.02876862395071712,127,-1,20,0.16855839243066015,15,178,5.367089748382568,0.6994894843049765,0.6926256446879385,,COMPLETE
69,0.6911656203864888,2026-05-25 02:35:43.619161,2026-05-25 02:35:48.815376,0 days 00:00:05.196215,0.710625168966256,3,0.7243835910425533,2.0139273889111035e-06,8.404935239784631e-06,0.046432757896032496,127,-1,20,0.15630701947018197,15,174,5.09557318687439,0.6988792403375351,0.6911656203864888,,COMPLETE
70,0.6910481618345669,2026-05-25 02:35:48.896630,2026-05-25 02:35:54.342234,0 days 00:00:05.445604,0.724596484175637,3,0.7157347906372616,6.395252732985626e-07,3.7237547538376905e-05,0.035742628787252394,127,-1,20,0.08621370145675201,15,264,5.329390287399292,0.6978466570988643,0.6910481618345669,,COMPLETE
71,0.6916626005706223,2026-05-25 02:35:54.424228,2026-05-25 02:35:59.813458,0 days 00:00:05.389230,0.7013571411952008,3,0.7011611980468457,4.53083325634779e-06,1.4018662774396655e-05,0.029228982158140918,127,-1,20,0.04015443063413784,15,178,5.273625612258911,0.7011761924116445,0.6916626005706223,,COMPLETE
72,0.6916477514894905,2026-05-25 02:35:59.912403,2026-05-25 02:36:05.386597,0 days 00:00:05.474194,0.7129121368136037,3,0.7368609960802207,9.653872881537859e-06,0.00015764679992833565,0.02994421428297524,127,-1,20,0.13321576402353988,15,178,5.351354360580444,0.7004648265788801,0.6916477514894905,,COMPLETE
73,0.6901590150975713,2026-05-25 02:36:05.482636,2026-05-25 02:36:11.015157,0 days 00:00:05.532521,0.7197985886812398,0,0.7517555612240511,1.6482926780544554e-06,7.157841155019144e-07,0.02145000297385274,127,-1,20,1.0778714418166468e-06,31,149,5.402711629867554,0.6996489412782562,0.6901590150975713,,COMPLETE
74,0.6912942157492602,2026-05-25 02:36:11.110987,2026-05-25 02:36:17.177283,0 days 00:00:06.066296,0.7013344383080365,3,0.712485774994932,0.00012224646015284688,2.4831543094569954e-06,0.018202890151367963,127,-1,200,0.06762314455199181,31,224,5.922312021255493,0.6949494811054716,0.6912942157492602,,COMPLETE
75,0.6873538728607752,2026-05-25 02:36:17.296865,2026-05-25 02:36:24.310208,0 days 00:00:07.013343,0.7308437077914259,1,0.730997016820809,1.8502900423805554e-07,5.5912604133500495e-06,0.03425998320078592,255,-1,100,0.022189208862852305,127,86,6.896828651428223,0.6912803007120109,0.6873538728607752,,COMPLETE
